OBJECTID;NUMERO;IMMEUBLE;DESIGNATION;DENOMINATION;COMPLEMENT;ALTITUDE;ANNEE;X;Y;TYP;geo_shape;geo_point_2d
13408;rn73075;38;Rue de;TANGER;Angle rue Riquet n°39;49.018;1987;602552.047;132073.966;ENSERVICE;"{""type"": ""Point"", ""coordinates"": [2.371326348504923, 48.88909439106703]}";48.8890943911,2.3713263485
13433;rn75450;#;Avenue de la;PORTE BRUNET;Passage souterrain sous le B.P. entre les rues des Marchais et Sigmund Freud_ Au milieu du passage côté nord-est;66.967;1992;604597.422;131503.921;ENSERVICE;"{""type"": ""Point"", ""coordinates"": [2.399212957646311, 48.88395620184521]}";48.8839562018,2.39921295765
13461;rn33121;5;Rue de;LA ROCHEFOUCAULD;#;38.469;1985;599829.16;130775.002;ENSERVICE;"{""type"": ""Point"", ""coordinates"": [2.334194658789991, 48.87741843164974]}";48.8774184316,2.33419465879
13474;rn57183;59;Boulevard;LEFEBVRE;#;58.111;1984;596778.147;125617.827;ENSERVICE;"{""type"": ""Point"", ""coordinates"": [2.292638741767947, 48.83103284603198]}";48.831032846,2.29263874177
13475;rn16049;33;Quai d';ANJOU;#;35.959;1990;601537.985;127977.449;ENSERVICE;"{""type"": ""Point"", ""coordinates"": [2.357482286673551, 48.85225882718117]}";48.8522588272,2.35748228667
13481;rn75324;6;Villa;ALEXANDRE RIBOT;Sur le pilastre du mur de clôture;91.946;2014;604308.829;131206.878;ENSERVICE;"{""type"": ""Point"", ""coordinates"": [2.395274657394908, 48.881287062740526]}";48.8812870627,2.39527465739
13542;rn53015;#;Rue;JEAN DOLENT;Angle rue Messier sur la maison d'arrêt de la Santé;54.293;1982;600119.459;125926.869;ENSERVICE;"{""type"": ""Point"", ""coordinates"": [2.338151564540493, 48.83382040771483]}";48.8338204077,2.33815156454
13550;rn01001;#;Rue de;RIVOLI;Au début du mur de la Terrasse des Feuillants_ Sur le pilier;33.819;1982;599092.035;129527.829;ENSERVICE;"{""type"": ""Point"", ""coordinates"": [2.324147651796751, 48.866202276068535]}";48.8662022761,2.3241476518
13567;rn19069;137;Boulevard;SAINT-MICHEL;#;54.884;1980;600110.239;126817.683;ENSERVICE;"{""type"": ""Point"", ""coordinates"": [2.338026134775944, 48.84183127171622]}";48.8418312717,2.33802613478
13569;rn50226;15;Place;SOUHAM;#;53.532;1995;602300.982;125323.905;ENSERVICE;"{""type"": ""Point"", ""coordinates"": [2.367864870255892, 48.828393801183125]}";48.8283938012,2.36786487026
13574;rn21027;2Bis;Rue;GUENEGAUD;Sur l'Hôtel des Monnaies;34.227;1981;600159.841;128373.17;ENSERVICE;"{""type"": ""Point"", ""coordinates"": [2.338702399267079, 48.85581935942129]}";48.8558193594,2.33870239927
13595;rn17035;15;Rue;LINNE;Face à la rue Guy de la Brosse;41.901;1981;601328.105;127135.272;ENSERVICE;"{""type"": ""Point"", ""coordinates"": [2.354619565248965, 48.84468583492255]}";48.8446858349,2.35461956525
13626;rn42009;#;Rue;AMELOT;Près du n°63_ A l'angle de la rue Scarron_ Au bas des escaliers;34.957;1984;602335.32;128687.427;ENSERVICE;"{""type"": ""Point"", ""coordinates"": [2.368351615691757, 48.85864096107018]}";48.8586409611,2.36835161569
13648;rn50204;161;Rue du;CHEVALERET;#;36.46;1995;602498.35;125812.47;ENSERVICE;"{""type"": ""Point"", ""coordinates"": [2.370556081846033, 48.832786568149075]}";48.8327865681,2.37055608185
13670;rn69256;9;Rue;CAULAINCOURT;Face au n°10;68.394;1988;599550.938;131662.062;ENSERVICE;"{""type"": ""Point"", ""coordinates"": [2.330400342351917, 48.88539540351194]}";48.8853954035,2.33040034235
13719;rn45249;#;Allée;ROYALE;Sur le pilier du portail arrière de la caserne de gendarmerie;48.643;1996;607094.0;126207.0;ENSERVICE;"{""type"": ""Point"", ""coordinates"": [2.433163377194746, 48.836298663147524]}";48.8362986631,2.43316337719
13737;rn46052;29;Avenue du;GENERAL MICHEL BIZOT;#;42.185;1984;604628.736;125935.695;ENSERVICE;"{""type"": ""Point"", ""coordinates"": [2.399576943965862, 48.833882342078006]}";48.8338823421,2.39957694397
13738;rn69273;9;Passage;CHARLES ALBERT;#;50.76;1988;599636.394;132895.19;ENSERVICE;"{""type"": ""Point"", ""coordinates"": [2.331564417234068, 48.896484673910464]}";48.8964846739,2.33156441723
13778;rn02046;25;Rue de;LA REYNIE;Près de la rue Saint-Denis;35.773;1995;600874.378;128844.251;ENSERVICE;"{""type"": ""Point"", ""coordinates"": [2.348441086851043, 48.8600550653425]}";48.8600550653,2.34844108685
13785;rn79015;19;Rue;LAURENCE SAVART;#;93.354;1988;604177.124;129743.27;ENSERVICE;"{""type"": ""Point"", ""coordinates"": [2.393463921138727, 48.868126118635004]}";48.8681261186,2.39346392114
13793;rn71040;4;Rue;SAINT-MATHIEU;#;60.446;1993;601433.055;131770.857;ENSERVICE;"{""type"": ""Point"", ""coordinates"": [2.356065470852356, 48.886372246685546]}";48.8863722467,2.35606547085
13795;rn67064;6;Rue de;CHEROY;#;52.604;1993;598680.022;131343.685;ENSERVICE;"{""type"": ""Point"", ""coordinates"": [2.318525500373115, 48.88253107277696]}";48.8825310728,2.31852550037
13813;rn69246;6;Passage de;CLICHY;#;66.078;1988;599444.662;131616.21;ENSERVICE;"{""type"": ""Point"", ""coordinates"": [2.32895121823825, 48.88498298222043]}";48.8849829822,2.32895121824
13817;rn46162;8;Rue des;JARDINIERS;#;43.895;1984;604368.6;125966.661;ENSERVICE;"{""type"": ""Point"", ""coordinates"": [2.396033702807763, 48.83416271522096]}";48.8341627152,2.39603370281
13825;rn75601;#;Avenue;JEAN JAURES;A l'angle de la place de la Porte de Pantin_Sur le début de la balustrade;56.373;1995;604275.278;132072.642;ENSERVICE;"{""type"": ""Point"", ""coordinates"": [2.394826242282606, 48.889072894634545]}";48.8890728946,2.39482624228
13835;rn08037;28;Rue;ETIENNE MARCEL;#;34.191;1983;600780.578;129328.168;ENSERVICE;"{""type"": ""Point"", ""coordinates"": [2.347163559400256, 48.86440693596653]}";48.864406936,2.3471635594
