,OBJECTID,NUMERO,IMMEUBLE,DESIGNATION,DENOMINATION,COMPLEMENT,ALTITUDE,ANNEE,X,Y,TYP,geo_shape,geo_point_2d,lat,long
1407,13589,rn57123,#,Rue,LOUIS VICAT,Face à l'avenue Victor Hugo sur le boulevard Périphérique,56.983999999999995,1984,596865.694,125159.965,ENSERVICE,"{""type"": ""Point"", ""coordinates"": [2.293834810171524, 48.826915866834085]}","48.8269158668,2.29383481017",48.8269158668,2.29383481017
1408,13640,rn62154,1,Rue,PAUL SAUNIERE,#,60.245,1994,595901.249,128778.159,ENSERVICE,"{""type"": ""Point"", ""coordinates"": [2.28066214662766, 48.859447663604705]}","48.8594476636,2.28066214663",48.8594476636,2.28066214663
1409,13656,rn46204,#,Avenue de,GRAVELLE,Face à la route du Ruisseau_ Sur le mur arrière de l'hôpital de Saint-Maurice,61.03,1996,606958.0,124652.0,ENSERVICE,"{""type"": ""Point"", ""coordinates"": [2.431284199841417, 48.82231650141101]}","48.8223165014,2.43128419984",48.8223165014,2.43128419984
1410,13672,rn50043,#,Rue,NATIONALE,Angle rue Regnault,59.06,1982,602357.7289999999,124706.543,ENSERVICE,"{""type"": ""Point"", ""coordinates"": [2.368634265057841, 48.822841810660215]}","48.8228418107,2.36863426506",48.8228418107,2.36863426506
1411,13706,rn76074,30,Rue,CAVENDISH,#,56.978,1992,603166.02,131449.58800000002,ENSERVICE,"{""type"": ""Point"", ""coordinates"": [2.379694352387099, 48.883476653582306]}","48.8834766536,2.37969435239",48.8834766536,2.37969435239
1412,13754,rn70245,21,Rue du,POTEAU,#,56.611999999999995,1988,600409.928,132577.052,ENSERVICE,"{""type"": ""Point"", ""coordinates"": [2.342114470698947, 48.893623701139994]}","48.8936237011,2.3421144707",48.8936237011,2.3421144707
1413,13764,rn64190,21,Rue,FRESNEL,#,34.205999999999996,1994,596860.679,129180.68,ENSERVICE,"{""type"": ""Point"", ""coordinates"": [2.293735086202599, 48.86307310964457]}","48.8630731096,2.2937350862",48.8630731096,2.2937350862
1414,13780,rn47047,4,Rue de,CHAMBERTIN,Près de la rue de Bercy,33.418,1995,603193.219,126610.215,ENSERVICE,"{""type"": ""Point"", ""coordinates"": [2.380027576065741, 48.83995726237792]}","48.8399572624,2.38002757607",48.8399572624,2.38002757607
1415,13789,rn63076,9,Avenue,BUGEAUD,A l'angle de la rue du Général Clergerie,54.632,1994,596111.7320000001,129951.034,ENSERVICE,"{""type"": ""Point"", ""coordinates"": [2.283519485532412, 48.86999640988895]}","48.8699964099,2.28351948553",48.8699964099,2.28351948553
1416,13820,rn35032,1,Rue,BLEUE,Face à la rue Papillon,34.689,1985,600841.3,130589.42,ENSERVICE,"{""type"": ""Point"", ""coordinates"": [2.347993728793563, 48.875748978309716]}","48.8757489783,2.34799372879",48.8757489783,2.34799372879
